generation,prop0,prop1,prop2,prop3,prop4,prop5,prop6,prop7,prop8,prop9,prop10,prop11,prop12,prop13,prop14,prop15
0,4e-07,0,1.42e-05,0,3.76e-05,2e-07,0.0067614,1.26e-05,4.4e-06,0,0.0024942,3e-06,0.0020234,7.2e-06,0.986847,0.0017948
1,4.2109e-07,0,1.3896e-05,0,3.78981e-05,2.10545e-07,0.00675387,1.24222e-05,4.42145e-06,0,0.00248591,3.15818e-06,0.00202039,7.36908e-06,0.986865,0.00179553
2,3.97353e-07,0,1.4106e-05,0,3.75499e-05,1.98677e-07,0.00674288,1.19206e-05,4.17221e-06,0,0.00250074,2.98015e-06,0.00201716,7.74839e-06,0.986864,0.00179643
3,4.18328e-07,0,1.44323e-05,0,3.72312e-05,2.09164e-07,0.00672985,1.21315e-05,4.39245e-06,0,0.00250641,3.13746e-06,0.00201362,7.73907e-06,0.986877,0.00179316
4,3.99762e-07,0,1.49911e-05,0,3.8577e-05,1.99881e-07,0.00672699,1.21927e-05,4.99702e-06,0,0.00250191,2.79833e-06,0.0020134,7.79535e-06,0.986877,0.00179893
5,4.20842e-07,0,1.51503e-05,0,3.95592e-05,2.10421e-07,0.00674674,1.24149e-05,4.62927e-06,0,0.00250107,2.73548e-06,0.00201584,7.57516e-06,0.986855,0.0017991
6,3.97405e-07,0,1.43066e-05,0,4.05353e-05,3.97405e-07,0.00676383,1.2717e-05,4.57016e-06,0,0.00250782,2.98054e-06,0.00201882,7.35199e-06,0.986822,0.00180462
7,4.1837e-07,0,1.4643e-05,0,4.14186e-05,4.1837e-07,0.00676546,1.27603e-05,4.60207e-06,0,0.00250625,3.13778e-06,0.00201592,7.53066e-06,0.986822,0.00180589
8,3.99738e-07,0,1.49902e-05,0,4.07733e-05,1.99869e-07,0.00676177,1.25918e-05,4.19725e-06,0,0.00250256,2.99804e-06,0.00200908,6.99542e-06,0.986835,0.00180882
9,4.2082e-07,0,1.51495e-05,0,4.06092e-05,0,0.00676637,1.2835e-05,4.2082e-06,0,0.0025003,2.73533e-06,0.00200668,7.36435e-06,0.986834,0.0018089
