generation,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv
0,4.00E-07,0,1.42E-05,0,3.76E-05,2.00E-07,0.0067614,1.26E-05,4.40E-06,0,0.0024942,3.00E-06,0.0020234,7.20E-06,0.986847,0.0017948
1,2.11E-07,0,1.43E-05,0,3.77E-05,2.11E-07,0.00675117,1.24E-05,4.42E-06,0,0.00249153,3.16E-06,0.00202034,7.37E-06,0.986863,0.0017938
2,1.99E-07,0,1.35E-05,0,3.77E-05,1.99E-07,0.00676195,1.27E-05,3.97E-06,0,0.00249094,3.18E-06,0.00203411,7.55E-06,0.986846,0.00178761
3,2.09E-07,0,1.36E-05,0,3.76E-05,2.09E-07,0.00675872,1.28E-05,3.76E-06,0,0.00249532,3.35E-06,0.00202987,7.53E-06,0.986844,0.00179255
4,0,0,1.44E-05,0,3.80E-05,2.00E-07,0.00676085,1.32E-05,3.60E-06,0,0.002502,3.40E-06,0.00202835,7.20E-06,0.986832,0.00179663
5,0,0,1.43E-05,0,3.77E-05,2.10E-07,0.00675795,1.30E-05,3.58E-06,0,0.00250319,3.37E-06,0.00202856,7.16E-06,0.98683,0.00180062
6,0,0,1.37E-05,0,3.73E-05,1.99E-07,0.00673728,1.29E-05,3.38E-06,0,0.00251906,3.58E-06,0.00202986,6.75E-06,0.986834,0.00180185
7,0,0,1.36E-05,0,3.72E-05,0,0.006735,1.30E-05,3.35E-06,0,0.0025199,3.76E-06,0.00202244,6.48E-06,0.98685,0.00179578
8,0,0,1.28E-05,0,3.70E-05,0,0.00672307,1.22E-05,3.20E-06,0,0.00252417,3.20E-06,0.00202806,6.20E-06,0.986843,0.0018073
9,0,0,1.30E-05,0,3.64E-05,0,0.00672696,1.20E-05,2.95E-06,0,0.0025219,3.16E-06,0.00203234,6.10E-06,0.98684,0.00180503
10,0,0,1.37E-05,0,3.69E-05,0,0.00670676,1.17E-05,2.78E-06,0,0.0025305,3.18E-06,0.00202845,6.36E-06,0.986852,0.00180781
11,0,0,1.32E-05,0,3.70E-05,0,0.00670873,1.17E-05,2.72E-06,0,0.00253373,3.14E-06,0.00202614,6.69E-06,0.986852,0.00180538
12,0,0,1.38E-05,0,3.62E-05,0,0.00671027,1.26E-05,3.00E-06,0,0.00253205,2.80E-06,0.00201652,6.80E-06,0.986864,0.00180155
13,0,0,1.43E-05,0,3.62E-05,0,0.00671279,1.20E-05,2.95E-06,0,0.00253035,2.53E-06,0.00202028,6.74E-06,0.986862,0.00179945
14,0,0,1.43E-05,0,3.83E-05,0,0.00670494,1.21E-05,3.18E-06,0,0.00252887,2.18E-06,0.00202052,5.96E-06,0.986871,0.0017989
15,0,0,1.40E-05,0,3.87E-05,0,0.00671063,1.21E-05,3.14E-06,0,0.00252811,2.30E-06,0.00201329,6.27E-06,0.986867,0.0018049
16,0,0,1.46E-05,0,3.82E-05,0,0.00670455,1.10E-05,3.80E-06,0,0.00253039,2.20E-06,0.00201995,6.20E-06,0.986855,0.00181385
17,0,0,1.45E-05,0,3.89E-05,0,0.00670496,1.14E-05,4.00E-06,0,0.00252522,2.31E-06,0.00201917,6.52E-06,0.98686,0.00181338
18,0,0,1.39E-05,0,4.01E-05,0,0.00669926,1.07E-05,4.37E-06,0,0.00253326,2.39E-06,0.00200837,6.76E-06,0.986857,0.00182333
19,0,0,1.42E-05,0,4.04E-05,0,0.00669162,1.00E-05,4.39E-06,0,0.00253669,2.51E-06,0.00201249,6.49E-06,0.986858,0.0018231
20,0,0,1.52E-05,0,3.94E-05,0,0.00669733,1.02E-05,4.39E-06,0,0.00252164,2.20E-06,0.00200345,6.19E-06,0.986888,0.00181227
21,0,0,1.54E-05,0,3.93E-05,0,0.00670481,1.03E-05,4.21E-06,0,0.00251985,2.31E-06,0.00199615,6.52E-06,0.986889,0.0018117
22,0,0,1.55E-05,0,4.11E-05,0,0.00671139,9.94E-06,4.37E-06,0,0.00253903,2.39E-06,0.00199366,6.76E-06,0.986866,0.00180982
23,0,0,1.53E-05,0,4.12E-05,0,0.00671671,1.00E-05,4.18E-06,0,0.00254683,2.30E-06,0.00200093,6.90E-06,0.986844,0.00181136
24,0,0,1.42E-05,0,4.08E-05,0,0.00671811,8.99E-06,3.80E-06,0,0.00253393,2.60E-06,0.00200728,6.39E-06,0.986849,0.00181449
25,0,0,1.39E-05,0,4.10E-05,0,0.0067225,8.83E-06,3.58E-06,0,0.00253732,2.73E-06,0.00200373,6.31E-06,0.986837,0.00182285
26,0,0,1.29E-05,0,4.03E-05,0,0.00671557,8.15E-06,3.78E-06,0,0.00252617,2.78E-06,0.00200766,7.75E-06,0.986846,0.00182839
27,0,0,1.28E-05,0,4.00E-05,0,0.0067128,8.58E-06,3.35E-06,0,0.00252329,2.51E-06,0.00201369,7.95E-06,0.986846,0.0018296
28,0,0,1.36E-05,0,3.98E-05,0,0.00672855,8.19E-06,3.00E-06,0,0.00251851,2.60E-06,0.00201928,7.39E-06,0.986839,0.00182043
29,0,0,1.37E-05,0,4.02E-05,0,0.00672613,7.99E-06,2.95E-06,0,0.00251854,2.73E-06,0.00202417,7.15E-06,0.986838,0.00181822
30,0,0,1.39E-05,0,3.94E-05,0,0.00670835,8.15E-06,2.78E-06,0,0.00251364,2.39E-06,0.00201954,6.76E-06,0.986856,0.00182913
31,0,0,1.42E-05,0,3.81E-05,0,0.00669241,7.95E-06,2.72E-06,0,0.0025176,2.09E-06,0.00201856,6.91E-06,0.986861,0.00183819
32,0,0,1.36E-05,0,3.80E-05,0,0.0066824,7.99E-06,2.80E-06,0,0.00251234,1.80E-06,0.00202718,7.39E-06,0.986865,0.00184135
33,0,0,1.37E-05,0,3.66E-05,0,0.00668372,7.57E-06,2.94E-06,0,0.00250634,1.68E-06,0.00203095,7.15E-06,0.986873,0.00183637
34,0,0,1.37E-05,0,3.58E-05,0,0.00667276,7.15E-06,2.78E-06,0,0.00251786,1.79E-06,0.00201942,6.76E-06,0.986879,0.00184273
35,0,0,1.42E-05,0,3.45E-05,0,0.00667771,6.90E-06,2.30E-06,0,0.00251091,1.88E-06,0.00202388,6.69E-06,0.98688,0.00184061
