generation,prop0,prop1,prop2,prop3,prop4,prop5,prop6,prop7,prop8,prop9,prop10,prop11,prop12,prop13,prop14,prop15
0,4e-07,0,1.42e-05,0,3.76e-05,2e-07,0.0067614,1.26e-05,4.4e-06,0,0.0024942,3e-06,0.0020234,7.2e-06,0.986847,0.0017948
1,4.21118e-07,0,1.4318e-05,0,3.81112e-05,2.10559e-07,0.00675957,1.28441e-05,4.00062e-06,0,0.00249281,3.15838e-06,0.00202368,6.73789e-06,0.986847,0.00179754
2,3.97155e-07,0,1.62834e-05,0,3.81269e-05,1.98578e-07,0.00677209,1.33047e-05,4.56729e-06,0,0.00250605,3.17724e-06,0.00201795,6.35448e-06,0.986813,0.00180805
3,4.18097e-07,0,1.67239e-05,0,3.76287e-05,2.09048e-07,0.00677818,1.33791e-05,4.80811e-06,0,0.00250377,3.13572e-06,0.00201962,6.4805e-06,0.986811,0.00180492
4,3.99959e-07,0,1.63983e-05,0,3.59963e-05,1.9998e-07,0.00682251,1.25987e-05,5.19947e-06,0,0.00250595,3.59963e-06,0.00202999,6.39935e-06,0.98676,0.00180122
5,4.20991e-07,0,1.66291e-05,0,3.62052e-05,2.10495e-07,0.00681521,1.22087e-05,5.47288e-06,0,0.00250342,3.57842e-06,0.00204033,6.31486e-06,0.98676,0.00179973
6,3.97273e-07,0,1.58909e-05,0,3.59532e-05,1.98637e-07,0.00682178,1.33086e-05,6.35637e-06,0,0.00249666,3.57546e-06,0.00203881,7.15092e-06,0.986757,0.00180302
7,4.18193e-07,0,1.65186e-05,0,3.53373e-05,2.09096e-07,0.00681612,1.31731e-05,6.27289e-06,0,0.00249933,2.92735e-06,0.00204622,7.10927e-06,0.986751,0.00180492
8,5.99773e-07,0,1.63938e-05,0,3.51867e-05,0,0.00681422,1.25952e-05,6.39758e-06,0,0.00249705,2.99886e-06,0.00202663,6.79742e-06,0.986775,0.00180612
9,6.31317e-07,0,1.57829e-05,0,3.57746e-05,0,0.00680454,1.26263e-05,6.31317e-06,0,0.00249181,3.15658e-06,0.0020219,6.73405e-06,0.986792,0.00180872
10,3.97198e-07,0,1.68809e-05,0,3.67408e-05,0,0.00677858,1.23131e-05,5.56077e-06,0,0.00248447,3.17759e-06,0.00202849,6.75237e-06,0.986821,0.00180546
11,4.18166e-07,0,1.60994e-05,0,3.70077e-05,0,0.00676885,1.27541e-05,5.64524e-06,0,0.00248662,3.34532e-06,0.002035,6.48157e-06,0.986819,0.00180836
12,3.99879e-07,0,1.51954e-05,0,3.79885e-05,0,0.00676295,1.33959e-05,4.99848e-06,0,0.00247465,3.39897e-06,0.00203318,6.598e-06,0.986836,0.00181165
13,4.20962e-07,0,1.49441e-05,0,3.8518e-05,0,0.00676086,1.34708e-05,5.26202e-06,0,0.00247231,3.57818e-06,0.00203661,6.94587e-06,0.986833,0.00181371
14,3.97288e-07,0,1.43024e-05,0,3.71464e-05,0,0.00675012,1.39051e-05,5.56203e-06,0,0.0024753,3.1783e-06,0.0020361,6.55525e-06,0.986836,0.00182176
15,4.18279e-07,0,1.48489e-05,0,3.61811e-05,0,0.006746,1.38032e-05,5.8559e-06,0,0.00247579,3.13709e-06,0.00203953,6.27418e-06,0.986827,0.00183143
16,3.99838e-07,0,1.53938e-05,0,3.59854e-05,0,0.00675746,1.31946e-05,5.39781e-06,0,0.00248719,3.39862e-06,0.00203857,6.59732e-06,0.986811,0.00182566
17,4.2095e-07,0,1.47332e-05,0,3.62017e-05,0,0.00674888,1.32599e-05,5.68282e-06,0,0.0024956,3.3676e-06,0.00203677,6.7352e-06,0.986816,0.00182208
18,3.97205e-07,0,1.4498e-05,0,3.45568e-05,0,0.00674394,1.27106e-05,6.15668e-06,0,0.00249365,4.17065e-06,0.00204938,6.75248e-06,0.986807,0.00182675
19,4.18116e-07,0,1.50522e-05,0,3.49127e-05,0,0.00672853,1.31707e-05,6.27174e-06,0,0.00248946,3.76305e-06,0.00204981,6.89892e-06,0.986819,0.00183239
20,1.99956e-07,0,1.41969e-05,0,3.53923e-05,0,0.00674773,1.31971e-05,6.39861e-06,0,0.00248826,3.79917e-06,0.00205215,6.99848e-06,0.986789,0.0018424
21,2.10491e-07,0,1.43134e-05,0,3.5573e-05,0,0.00674813,1.32609e-05,6.31473e-06,0,0.00249284,3.78884e-06,0.00205313,6.9462e-06,0.986786,0.00183948
22,1.98683e-07,0,1.39078e-05,0,3.73524e-05,0,0.00673893,1.41065e-05,5.76181e-06,0,0.00248453,3.37761e-06,0.00205279,6.35786e-06,0.986781,0.00186146
