generation,prop0,prop1,prop2,prop3,prop4,prop5,prop6,prop7,prop8,prop9,prop10,prop11,prop12,prop13,prop14,prop15
0,4e-07,0,1.42e-05,0,3.76e-05,2e-07,0.0067614,1.26e-05,4.4e-06,0,0.0024942,3e-06,0.0020234,7.2e-06,0.986847,0.0017948
1,4.21125e-07,0,1.45288e-05,0,3.76907e-05,0,0.00674959,1.32654e-05,4.21125e-06,0,0.00248822,3.15844e-06,0.00203172,7.15913e-06,0.986856,0.00179442
2,3.9718e-07,0,1.46956e-05,0,3.73349e-05,0,0.00672961,1.35041e-05,4.17039e-06,0,0.00250164,3.57462e-06,0.00203257,7.34782e-06,0.986849,0.00180598
3,4.18127e-07,0,1.50526e-05,0,3.72133e-05,0,0.00673624,1.33801e-05,3.97221e-06,0,0.00249329,3.55408e-06,0.00203879,7.73536e-06,0.986839,0.00181091
4,3.99992e-07,0,1.63997e-05,0,3.65993e-05,0,0.00675507,1.35997e-05,3.59993e-06,0,0.00248355,3.79993e-06,0.00204396,7.79985e-06,0.986826,0.00180917
5,4.21107e-07,0,1.62126e-05,0,3.49519e-05,0,0.0067474,1.32649e-05,3.57941e-06,0,0.00248601,4.00052e-06,0.00204068,7.57993e-06,0.986836,0.00181013
6,5.9566e-07,0,1.66785e-05,0,3.53425e-05,0,0.00674942,1.42958e-05,3.3754e-06,0,0.00247596,4.56672e-06,0.00203815,7.74358e-06,0.986842,0.0018116
7,6.27054e-07,0,1.71395e-05,0,3.42789e-05,0,0.00674919,1.42132e-05,3.5533e-06,0,0.00247289,4.80741e-06,0.00204148,7.94268e-06,0.986849,0.00180508
8,6.00223e-07,0,1.82068e-05,0,3.34124e-05,0,0.0067313,1.40052e-05,3.80141e-06,0,0.00247452,5.60208e-06,0.00204176,7.8029e-06,0.986871,0.00179827
9,6.31301e-07,0,1.72556e-05,0,3.36694e-05,0,0.00672988,1.45199e-05,3.7878e-06,0,0.00247933,5.68171e-06,0.00204099,7.99647e-06,0.986871,0.00179563
10,7.94751e-07,0,1.60937e-05,0,3.45717e-05,0,0.0067383,1.41068e-05,4.17244e-06,0,0.00247247,5.16588e-06,0.00204867,7.94751e-06,0.986869,0.00178879
11,8.36727e-07,0,1.58978e-05,0,3.51425e-05,0,0.00674695,1.42244e-05,3.97445e-06,0,0.0024673,5.43873e-06,0.00204622,7.73973e-06,0.986868,0.00178871
12,7.99354e-07,0,1.59871e-05,0,3.73698e-05,0,0.00674615,1.27897e-05,4.39645e-06,0,0.00245741,5.39564e-06,0.00203216,7.99354e-06,0.986904,0.00177517
13,8.41355e-07,0,1.61961e-05,0,3.61782e-05,0,0.00675187,1.3041e-05,4.41711e-06,0,0.00245318,5.04813e-06,0.00203482,7.99287e-06,0.9869,0.0017761
14,7.95076e-07,0,1.70941e-05,0,3.75673e-05,0,0.00674046,1.35163e-05,4.17415e-06,0,0.00246871,4.57169e-06,0.00203559,8.3483e-06,0.986903,0.00176626
15,8.37104e-07,0,1.71606e-05,0,3.78789e-05,0,0.00673241,1.36029e-05,3.76697e-06,0,0.00246632,4.81335e-06,0.00203939,8.58031e-06,0.986918,0.0017575
16,7.99328e-07,0,1.7785e-05,0,3.83677e-05,0,0.00676391,1.35886e-05,3.79681e-06,0,0.00246573,5.19563e-06,0.00204408,8.19311e-06,0.986881,0.00175752
17,8.41291e-07,0,1.80878e-05,0,3.82787e-05,0,0.00676082,1.34607e-05,3.57549e-06,0,0.0024755,5.04775e-06,0.0020374,8.20259e-06,0.98688,0.0017583
18,7.95207e-07,0,1.82898e-05,0,3.87664e-05,0,0.00677954,1.39161e-05,3.37963e-06,0,0.00247568,4.97005e-06,0.00203931,8.15088e-06,0.986858,0.0017596
19,8.37188e-07,0,1.86274e-05,0,3.87199e-05,0,0.00678834,1.29764e-05,3.55805e-06,0,0.00248101,4.81383e-06,0.00203562,8.58117e-06,0.986849,0.00175747
20,7.99086e-07,0,1.95776e-05,0,3.87556e-05,0,0.00679482,1.23858e-05,3.99543e-06,0,0.00249275,4.1952e-06,0.00203367,8.19063e-06,0.986843,0.0017478
21,8.41344e-07,0,1.93509e-05,0,3.91225e-05,0,0.00679028,1.21995e-05,4.20672e-06,0,0.00249438,4.41706e-06,0.00202533,8.41344e-06,0.986861,0.00174095
22,9.93891e-07,0,1.88839e-05,0,3.87617e-05,0,0.00680776,1.27218e-05,4.37312e-06,0,0.00250321,3.97556e-06,0.00203787,8.74624e-06,0.986821,0.0017415
23,1.04633e-06,0,1.84154e-05,0,3.9342e-05,0,0.00680701,1.27652e-05,4.39459e-06,0,0.00250617,3.97605e-06,0.00203783,8.78917e-06,0.986815,0.00174486
24,9.98827e-07,0,1.89777e-05,0,3.9154e-05,0,0.00680041,1.2785e-05,5.1939e-06,0,0.00250745,3.99531e-06,0.0020462,9.1892e-06,0.986806,0.00174974
25,8.41144e-07,0,1.85052e-05,0,3.93235e-05,0,0.00679392,1.3248e-05,5.25715e-06,0,0.00250451,4.20572e-06,0.00205029,9.67316e-06,0.986814,0.0017458
26,5.96684e-07,0,1.8895e-05,0,3.79889e-05,0,0.00677774,1.31271e-05,4.77347e-06,0,0.00250826,3.9779e-06,0.00204802,9.14916e-06,0.986803,0.00177454
27,6.28041e-07,0,1.88412e-05,0,3.81012e-05,0,0.00679373,1.38169e-05,4.60563e-06,0,0.00251363,3.97759e-06,0.00204009,9.62996e-06,0.986777,0.00178594
28,5.99187e-07,0,1.97732e-05,0,3.71496e-05,0,0.00678799,1.29824e-05,4.39404e-06,0,0.00252917,3.79485e-06,0.00203784,8.98781e-06,0.986786,0.0017714
29,6.30694e-07,0,1.95515e-05,0,3.76314e-05,0,0.00678375,1.26139e-05,4.62509e-06,0,0.00253098,3.9944e-06,0.00204009,9.46041e-06,0.986784,0.00177246
30,7.95439e-07,0,1.96871e-05,0,3.61925e-05,0,0.00680319,1.31247e-05,4.77263e-06,0,0.00251677,3.38061e-06,0.00204348,8.74983e-06,0.986778,0.00177204
31,8.3738e-07,0,2.00971e-05,0,3.51699e-05,0,0.00680224,1.277e-05,4.60559e-06,0,0.00250691,3.55886e-06,0.00203902,9.21118e-06,0.986795,0.00177064
32,7.98674e-07,0,1.99668e-05,0,3.45426e-05,0,0.00679512,1.37771e-05,3.99337e-06,0,0.00250664,3.7937e-06,0.00203961,8.38607e-06,0.986814,0.00175968
33,8.40732e-07,0,1.93368e-05,0,3.38395e-05,0,0.00678008,1.36619e-05,4.20366e-06,0,0.00250118,3.57311e-06,0.00204361,7.98696e-06,0.986839,0.00175314
34,9.94613e-07,0,1.98923e-05,0,3.28222e-05,0,0.00680057,1.37257e-05,4.17737e-06,0,0.00249887,4.17737e-06,0.00203478,8.15582e-06,0.986827,0.00175509
35,1.04692e-06,0,1.94727e-05,0,3.3292e-05,0,0.00679785,1.40287e-05,4.18767e-06,0,0.00249816,3.55952e-06,0.0020306,7.53781e-06,0.986834,0.00175673
36,9.98432e-07,0,1.9769e-05,0,3.19498e-05,0,0.00680092,1.55755e-05,4.19342e-06,0,0.00249508,3.39467e-06,0.00202762,7.98746e-06,0.98684,0.00175285
37,1.05105e-06,0,1.89188e-05,0,3.23722e-05,0,0.00679459,1.59759e-05,4.20418e-06,0,0.00250233,3.57355e-06,0.00202452,7.98795e-06,0.986844,0.00175083
38,9.94445e-07,0,1.94911e-05,0,3.08278e-05,0,0.00680897,1.611e-05,3.58e-06,0,0.00249864,3.38111e-06,0.0020227,8.35334e-06,0.986822,0.00176474
39,1.04682e-06,0,1.98896e-05,0,3.11953e-05,0,0.00680602,1.69585e-05,3.34983e-06,0,0.00249751,3.55919e-06,0.00202707,8.16521e-06,0.986822,0.00176285
40,9.98642e-07,0,1.8375e-05,0,3.13574e-05,0,0.00681014,1.69769e-05,3.39538e-06,0,0.00250479,3.19565e-06,0.00201606,8.78805e-06,0.98683,0.00175581
41,1.05132e-06,0,1.87135e-05,0,3.11191e-05,0,0.00681719,1.72417e-05,3.36423e-06,0,0.00250887,3.36423e-06,0.0020158,8.2003e-06,0.986823,0.00175234
